company,rating,review
www.mcdonalds.com,5,"The serving of chicken meal is now larger, compared to previous months. Coke float, hamburger, and Hot Fudge sundae tastes great too!"
www.mcdonalds.com,5,"Place was clean, which isn’t always the case with busy locations. Solid spot for a quick meal on the go."
www.mcdonalds.com,1,"Placed my order at 5:33am through your app. When I got there they said we are closed with no manager. I said I already paid through your app. He said I can't help you with that. When the manager came in she said it will take a while to get things started. I said I will wait. are a few minutes the manager asked me to pull up and she would bring out my order. They brought out 2 different orders none of which was mine.  I waited and waited, and my order came out at 6:15am. The employee asked me to leave the drive through area or they will call the police. I had asked for a receipt, and no one came out with my receipt. I went inside and asked for a receipt and the manager ignored me. I finally had to ask an employee to print me a receipt. I was finally able to leave with my order at 6:30am. I would not recommend this location to anyone. Why would anyone wait about an hour to have my order completed????"
www.mcdonalds.com,5,"I liked the chips better than the burger... however, all of em tasted great!"
www.mcdonalds.com,1,"Ugh, I asked for extra pickles and they gave me one… like girl math says that’s actually negative pickles."
www.mcdonalds.com,5,"Macdonald's is always a reliable choice when you want quick ,tasty food and a good price.The service is usually fast ,the staff are friendly and the restaurants are clean and confortable and the menu has something for everyone from classic Burgers a d fries to New seasonal items."
www.mcdonalds.com,4,Their movie-themed floats were refreshing but the flavors are not that unique compared to other drinks. I wished a wider variety of flavors next time.
www.mcdonalds.com,3,"This branch in Richmond, VA was decent. The food came out hot and the order was correct. The wait time was a little longer than expected, but overall it was an average experience."
www.mcdonalds.com,5,"services Differ From Place To Place, but geenrally its good food."
www.mcdonalds.com,1,"I had to put a star but trust me they don’t deserve it. The store on WALES RD. In JACKSON OHIO, is by far the worst McDonald’s that has ever opened their doors and is stocked full of the most uneducated, unhygienic, rudest dirtiest slowest members of society that call themselves employees. This place needs to shut down like ASAP and never ever try to reopen again. I have personally NEVER had ONE good experience here not ONE"
www.mcdonalds.com,1,"Bad food, bad taste and employees are unfriendly especially in my area. I recommend other fast-food dining restaurants..."
www.mcdonalds.com,1,If you want to pay for an order and not receive all you paid for only to be fobbed of and gaslighted by staff by all means use the ryde branch if you want on brand service go to Newport
www.mcdonalds.com,5,My favorite place to get dinner after midnight.
www.mcdonalds.com,1,They dont have shakes over 90% of the time. It is really ridicules
www.mcdonalds.com,1,today I was double billed on one single order that was all  wrong and when I contacted them they are refusing to give me one of the refunds stating they cant well you had no problem taking two one for 23 and one for 17 I hope other people read this and be careful double check your accounts and make sure they dont take more than the order should be
www.mcdonalds.com,3,The food was cold the employees was nasty and hateful never have a kind word to say.
www.mcdonalds.com,5,I think McDonald is an incredible place to eat delicious and cheap because it have a good prices and the quality is ok.I recommend McDonald’s💗
www.mcdonalds.com,4,"For me, the service is good; it's fast, efficient, and has excellent prices. The burgers and fries are delicious, as are the desserts. I'd like to see security in the restaurants. They have many locations, and the food tastes very similar."
www.mcdonalds.com,1,"We went to the McDonald’s in zanesville ohio.  The staff was so inappropriate  and curing at each other, saying the f word.  It took us 40 min to get our food, if the worker would have just stopped complained and eating then she could have moved the customers along.  Also, my friend asked about her med fries she order ( only thing ordered) asked since her number disappearedThe worker got her fries in a bag and threw them at my disabled friend.Then she said once I get this lobby cleared I’m closing up and quitting."
www.mcdonalds.com,1,"Absolutely disgusting the food was freezing when it was delivered, you could tell this must have been sat on a hot plate/under a crappy heat lamp, it would have been under that long that it made the food rubbery - we could’t eat it and tried the dog with the food and he wouldn’t go anywhere near it !! McDonald’s I don’t know why you bother to offer delivery of food, especially if you can’t keep it warm/fresh for your customers - you should be ashamed - my delivery times changed a few times and was kept getting put back - makes you wonder if that food had been sat a hell of a long time !!! I won’t be ordering or bother going to one of your establishments again !!Ryhope McDonald’s"
www.mcdonalds.com,1,"McDonald’s staff employe namesFemale:AmyMale:AustinBe carful when ordering plain hamburgers there not plain hamburgers the put bits of onion in there and don’t tell youLocation: Gate Leisure Park, Terminus Rd, Chichester PO19 8EL"
www.mcdonalds.com,1,I went to US for my business expansion and visited a mcdonalds closby to my motel. Food was too much pricey than in my hometown and tastes too much bad for my palette. Japans mcdonalds is much better. Mcdonalds need to improve their service and taste
www.mcdonalds.com,1,"I went into their store at 5130 n Sheridan Road in Chicago on June 7th at 853p to purchase their $6.00 meal deal on their app. It was rung up at $7 and tax. Total of $7.76. It was shown on their board as $6.00 too not including tax. When i brought up to honor the $6.00 price i was refused by the cashier and the man they sent over when I asked to speak to the manager. It was only the matter of a dollar but I was treated like I was the one at fault and treated poorly. Besides McDonald's makes zillions of dollars dont they? I'm also a disabled senior. When I called their corporate office the young kid on the phone treated me poorly as well. He said they issued you a refund didn't they? I said for the whole meal not the dollar difference. Besides I demanded it because they refused to honor the $6.00 price. Also, the kid in corporate on my call to them acted as if they did me a big favor and gave me food for free or something. As i said i was refunded what they charged me for it which was a dollar more than on on their app which was lower. Also he added now i know why you were treated like that. Honest thats the absolute truth! Also i feel discrimination at the store and on the call. Thats how they settled it. I was told they would pass it along to the store manager. Thats all. I was told that it was to be passed on to the stores manager. It was not settled by mcdonalds corporate office. I requested a gift card for my trouble and I was refused that. Also the credit at my bank is showing at zero dollars. I need to contact me bank after I submit this. Additional thoughts their food wasn't any good in the first place. Most of the time it is served warm. Also too expensive now for what is given. Not pleasing to my eyes. From now on I refuse to go to any mcdonalds again. There is a circle k and marianos close by and when im looking to pick up something I will go there for a quick bite. Again that restaurant and McDonald's corporate doesn't care about their customers as I see. Many reputable companies would treat this in a matter which would show they care about their customers. McDonald's corporate doesn't care period. Also the customer service rep was also very rude and kept interrupting me when I spoke. Repeating that I already told him something when I didn't. Goodbye McDonald's with your corporate greed! Also apparently want to rip people off and scam the public as indicated here by over charging the customers."
www.mcdonalds.com,5,"McDonald’s is the best. The app and the discounts really help. I saved $7 while using the McDonalds app. I literally only order through the app from now on. Great food, great people."
www.mcdonalds.com,1,"No matter where in the world why do people still eat mc Donald's it's fake and poisonous, I mean dang how hungry are you!!!!! High prices disgusting food and now it looks like a gray jail!!!! I haven't eaten there for years and I'm very cautious of other establishment s too especially taco bell 🤮 and the date is a date of my review not experience"
www.mcdonalds.com,1,"The is the worst mcdonalds I have been to. 70345 Hwy 21 Covington, LA 70433. They gave me an uncooked sandwich that was cold with stale bread. You go inside the business and understand why right away. Just left with no food and money gone. I will never return to this sorry dump."
www.mcdonalds.com,1,El Mac Donald de levittown el servicio es extremadamente lento y pesimo
www.mcdonalds.com,1,"I have stopped at the Hwy 82, Greenville, MS location several times and have yet to get my order of a Diet Coke correct.  Today's flavor tasted like Dr. Pepper.  If someone orders a diet anything just maybe they are diabetic and can't drink sugar drinks!  Today they also decided I was not deserving of cheese on my sausage, egg AND CHEESE biscuit.  This is truly getting ridiculous.  If the people of Greenville would boycott these ""fast food"" restaurants I bet the powers that be would do something about the laziness and don't care attitudes their employees have!  Needless to say today was my last trip to any McDonalds.  I will make my own breakfast, at least that way I will get what I want!"
www.mcdonalds.com,1,"I visited several time to the Mcdonald's on rt33 Mercerville NJ, the manager a spanish guy is miserable he doesn't look at you or say good morning or hello. But to me one of the most important this is he is not veteran friendly he makes faces and click his tongue when ask and prove that you'll a veteran. Why is he working there??? Without the veterans he wouldn't even have a job! While he was sleeping in a warm bed I was fighting in war for his freedom and our country's freedom! GOD BLESS THE USA!"
www.mcdonalds.com,3,"In my opinion its not bad at all, but there are some things that should be improved, mostly meat quality is going down from what I see"
www.mcdonalds.com,4,My family friends loves the chicken nuggets and french fries!!!
www.mcdonalds.com,1,McDonald's food is cancerous. Mice won't eat it. Sit out for four years and still looks a day old. McDonald's food will put you in your grave after you suffer really bad cancer  before their food puts you in the graveyard after a long painful time. McDonald's should be permanently closed for poisoning people.
